id,County,District,School Type,Kindergarteners_with_Vaccination_Record,value,Exempt Rate
FRIEND PUBLIC SCHOOL,GRADY,FRIEND,Public,31,0.903,0.097
FRINK-CHAMBERS PUBLIC SCHOOL,PITTSBURG,FRINK-CHAMBERS,Public,53,0.925,0.000
FRONTIER ES (NOBLE COUNTY),NOBLE,FRONTIER,Public,27,0.926,0.000
FRONTIER ES (OKLAHOMA COUNTY),OKLAHOMA,EDMOND,Public,120,0.850,0.058
GANS ES,SEQUOYAH,GANS,Public,28,0.893,0.000
GARBER ES,GARFIELD,GARBER,Public,27,0.963,0.000
GARFIELD ES (GARFIELD COUNTY),GARFIELD,ENID,Public,108,0.954,0.009
GARFIELD ES (KAY COUNTY),KAY,PONCA CITY,Public,41,0.951,0.000
GARFIELD ES (TULSA COUNTY),TULSA,SAND SPRINGS,Public,74,0.932,0.000
GATEWOOD ES,OKLAHOMA,OKLAHOMA CITY,Public,21,1.000,0.000
GERONIMO ES,COMANCHE,GERONIMO,Public,28,0.893,0.000
GILMOUR ES,KINGFISHER,KINGFISHER,Public,107,0.813,0.009
GLENCOE ES,PAYNE,GLENCOE,Public,26,0.692,0.000
GLENPOOL ES,TULSA,GLENPOOL,Public,220,0.973,0.018
GLENWOOD ES,GARFIELD,ENID,Public,75,0.947,0.000
GLOVER PUBLIC SCHOOL,MCCURTAIN,GLOVER,Public,*,*,*
GORE ES,SEQUOYAH,GORE,Public,40,0.850,0.000
GRACEMONT ES,CADDO,GRACEMONT,Public,16,0.938,0.000
GRAND VIEW PUBLIC SCHOOL,CHEROKEE,GRAND VIEW,Public,64,0.906,0.000
GRANITE ES,GREER,GRANITE,Public,*,*,*
GREEN PASTURES ES,OKLAHOMA,OKLAHOMA CITY,Public,28,0.643,0.000
GREENVALE ES,OKLAHOMA,WESTERN HEIGHTS,Public,43,0.930,0.000
GREENWOOD ES,CHEROKEE,TAHLEQUAH,Public,92,0.989,0.000
GREYSTONE ES,OKLAHOMA,OKLAHOMA CITY,Public,89,0.876,0.000
GRIMES ES,TULSA,TULSA,Public,26,0.846,0.000
GRISSOM ES,TULSA,TULSA,Public,37,0.892,0.000
GROVE ES,TULSA,UNION,Public,61,0.918,0.033
GROVE LOWER ES,DELAWARE,GROVE,Public,189,0.968,0.026
